recommendation_id,created_at,worker_id,position,hourly_rate,experience_count,hired,category
37af-70cf97d7-901c,2012-06-20 0:32:25,2011195661,1,38,151,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2008902668,2,40,193,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2014034265,3,28,0,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2011743826,4,43,303,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2015589582,5,29,39,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2014053337,6,28,2,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2015481050,7,29,9,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2011567954,8,29,8,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2012811077,9,28,0,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2011082578,10,35,59,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2010743562,11,40,68,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2011209225,12,27,17,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2011867209,13,50,914,1,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2014325222,14,29,5,0,Handywork
37af-70cf97d7-901c,2012-06-20 0:32:25,2015317979,15,25,0,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2011195661,1,38,151,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2015589582,2,29,39,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2014034265,3,28,0,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2014053337,4,28,2,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2015481050,5,29,9,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2011567954,6,29,8,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2011082578,7,35,59,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2010743562,8,40,68,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2011209225,9,27,17,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2011867209,10,50,914,1,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2014325222,11,29,5,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2009568707,12,50,75,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2016511495,13,29,4,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2016519064,14,48,107,0,Handywork
2b2d-cdb916a3-941b,2012-06-20 0:32:35,2015317979,15,25,0,0,Handywork
388e-e930ff65-87d1,2012-06-20 1:14:53,2011195661,1,38,151,0,Handywork
388e-e930ff65-87d1,2012-06-20 1:14:53,2008902668,2,40,193,0,Handywork
388e-e930ff65-87d1,2012-06-20 1:14:53,2015317979,3,25,0,0,Handywork
